,0,1,2,3,awair_device_uuid,awair_mac_address,description,details,device_class,device_id,facilities_tag,gateway_id,location_general,location_specific,receiver,time,value
5547,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:08:58-05:00,671.0
5548,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:09:08-05:00,675.0
5549,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:09:18-05:00,677.0
5550,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:09:28-05:00,680.0
5551,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:09:38-05:00,683.0
5552,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:09:48-05:00,686.0
5553,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:09:59-05:00,688.0
5554,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:10:09-05:00,691.0
5555,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:10:19-05:00,695.0
5556,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:10:29-05:00,698.0
5557,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:10:39-05:00,701.0
5558,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:10:49-05:00,704.0
5559,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:10:59-05:00,707.0
5560,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:11:09-05:00,710.0
5561,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:11:19-05:00,712.0
5562,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:11:29-05:00,714.0
5563,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:11:39-05:00,716.0
5564,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:11:49-05:00,720.0
5565,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:11:59-05:00,723.0
5566,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:12:09-05:00,727.0
5567,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:12:19-05:00,730.0
5568,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:12:29-05:00,734.0
5569,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:12:39-05:00,737.0
5570,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:12:49-05:00,741.0
5571,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:12:59-05:00,744.0
5572,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:13:09-05:00,746.0
5573,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:13:19-05:00,748.0
5574,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:13:29-05:00,751.0
5575,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:13:39-05:00,753.0
5576,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:13:49-05:00,755.0
5577,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:13:59-05:00,758.0
5578,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:14:09-05:00,761.0
5579,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:14:19-05:00,764.0
5580,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:14:29-05:00,767.0
5581,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:14:39-05:00,771.0
5582,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:14:49-05:00,774.0
5583,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:14:59-05:00,776.0
5584,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:15:10-05:00,778.0
5585,,,,,awair-omni_16052,,,,undefined,70886b1238b9,,c0:98:e5:c0:00:38,,,http-awairlocal-publish,2021-11-16 13:15:20-05:00,780.0
